title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Beauty and the Beast (3D) 2012,BV,47600000.0,14400000,2012,Beauty and the Breast 2012,89
Rock of Ages 2012,WB (NL),38500000.0,20900000,2012,Rock of Ages 2012,100
That's My Boy 2012,Sony,36900000.0,20800000,2012,That's My Boy 2012,100
The Odd Life of Timothy Green 2012,BV,51900000.0,4200000,2012,The Odd Life of Timothy Green 2012,100
The Three Stooges 2012,Fox,44300000.0,10500000,2012,The Three Stooges 2012,100
The Five-Year Engagement 2012,Uni.,28800000.0,25100000,2012,The Five-Year Engagement 2012,100
Lawless 2012,Wein.,37400000.0,16300000,2012,Lawless 2012,100
Silent Hill: Revelation 3D 2012,ORF,17500000.0,34800000,2012,Silent Hill: Revelation 2012,95
Red Tails 2012,Fox,49900000.0,489000,2012,Red Tails 2012,100
"Monsters, Inc. (3D) 2012",BV,34000000.0,16200000,2012,Monsters in the Woods 2012,76
Trouble with the Curve 2012,WB,35800000.0,13200000,2012,Trouble with the Curve 2012,100
Little White Lies 2012,MPI,206000.0,48300000,2012,Little White Lies 2010,95
End of Watch 2012,ORF,41000000.0,7100000,2012,End of Watch 2012,100
Man on a Ledge 2012,LG/S,18600000.0,27600000,2012,Man on a Ledge 2012,100
Red Dawn (2012) 2012,FD,44800000.0,,2012,Red Dawn 2012,79
House at the End of The Street 2012,Rela.,31600000.0,12700000,2012,House at the End of the Street 2012,100
The Guilt Trip 2012,Par.,37100000.0,4700000,2012,The Guilt Trip 2012,100
A Werewolf Boy 2012,CJ,343000.0,41300000,2012,A Werewolf Boy 2012,100
Safe (2012) 2012,LGF,17100000.0,23200000,2012,Safe 2012,72
Killing Them Softly 2012,Wein.,15000000.0,22900000,2012,Killing Them Softly 2012,100
Chernobyl Diaries 2012,WB,18100000.0,19000000,2012,Chernobyl Diaries 2012,100
One For the Money 2012,LGF,26400000.0,10500000,2012,One for the Money 2012,100
Dredd 2012,LGF,13400000.0,22200000,2012,Dredd 2012,100
Tyler Perry's Good Deeds 2012,LGF,35000000.0,553000,2012,Good Deeds 2012,68
Arbitrage 2012,RAtt.,7900000.0,27600000,2012,Arbitrage 2012,100
Chimpanzee 2012,BV,29000000.0,5900000,2012,Chimpanzee 2012,100
Alex Cross 2012,LG/S,25900000.0,8700000,2012,Alex Cross 2012,100
Salmon Fishing in the Yemen 2012,CBS,9000000.0,25500000,2012,Salmon Fishing in the Yemen 2011,97
Fetih 1453: The Conquest of Constantinople 2012,NeoC,35700.0,34400000,2012,The Cost of Construction 2016,63
Cirque Du Soleil: Worlds Away 2012,Par.,12500000.0,21600000,2012,Cirque du Soleil: Worlds Away 2012,100
The Perks of Being a Wallflower 2012,LG/S,17700000.0,15600000,2012,The Perks of Being a Wallflower 2012,100
Haywire 2012,Rela.,18900000.0,14400000,2012,Haywire 2011,92
Katy Perry: Part of Me 2012,Par.,25300000.0,7400000,2012,Katy Perry: Part of Me 2012,100
Lockout 2012,FD,14300000.0,17900000,2012,Lockout 2012,100
Joyful Noise 2012,WB,30900000.0,226000,2012,Joyful Noise 2012,100
Premium Rush 2012,Sony,20300000.0,10800000,2012,Premium Rush 2012,100
The Raven 2012,Rela.,16000000.0,13600000,2012,The Raven 2012,100
Rowdy Rathore 2012,UTV,777000.0,28600000,2012,Rowdy Rathore 2012,100
Dragon (2012) 2012,RTWC,11100.0,29100000,2012,Dragon 2011,76
Bol Bachchan 2012,FIP,1200000.0,27600000,2012,Bol Bachchan 2012,100
The Master 2012,Wein.,16399999.0,11900000,2012,The Master 2012,100
Rust and Bone 2012,SPC,2100000.0,23700000,2012,Rust and Bone 2012,100
Big Miracle 2012,Uni.,20200000.0,4600000,2012,Big Miracle 2012,100
Sparkle (2012) 2012,TriS,24400000.0,240000,2012,Sparkle 2012,77
To the Arctic (IMAX) 2012,WB,14600000.0,9100000,2012,To the Arctic 3D 2012,83
Hitchcock 2012,FoxS,6000000.0,17600000,2012,Hitchcock 2012,100
A Thousand Words 2012,P/DW,18500000.0,3600000,2012,A Thousand Words 2012,100
Wanderlust 2012,Uni.,17500000.0,4200000,2012,Wanderlust 2012,100
Beasts of the Southern Wild 2012,FoxS,12800000.0,8300000,2012,Beasts of the Southern Wild 2012,100
Polisse 2012,IFC,211000.0,20200000,2012,Polisse 2011,92
Amour 2012,SPC,6700000.0,13100000,2012,Amour 2012,100
The Man with the Iron Fists 2012,Uni.,15600000.0,4099999,2012,The Man with the Iron Fists 2012,100
Solomon Kane 2012,RTWC,,19600000,2012,Solomon Grundy 2012,78
Seven Psychopaths 2012,CBS,15000000.0,4400000,2012,Seven Psychopaths 2012,100
Gone 2012,LG/S,11700000.0,6400000,2012,Gone 2012,100
Norwegian Wood 2012,RF,13000.0,17600000,2012,Norwegian Wood 2010,95
The Cold Light of Day 2012,LG/S,3800000.0,13100000,2012,The Cold Light of Day 2012,100
My Way (2012) 2012,CJ,70200.0,16500000,2012,My Way 2011,76
Tomorrow When the War Began 2012,Free,4900.0,16500000,2012,"Tomorrow, When the War Began 2010",95
We Have a Pope 2012,IFC,548000.0,15600000,2012,We Have a Pope 2011,95
Headhunters 2012,Magn.,1200000.0,14500000,2012,Headhunters 2011,94
Hit and Run 2012,ORF,13700000.0,704000,2012,Hit and Run 2012,100
War of the Buttons (2012) 2012,Wein.,47800.0,13800000,2012,War of the Buttons 2011,87
Red Lights (2012) 2012,MNE,52600.0,13500000,2012,Red Lights 2012,81
The Words 2012,CBS,11500000.0,1700000,2012,The Words 2012,100
Playing for Keeps 2012,FD,13100000.0,,2012,Playing for Keeps 2012,100
Silent House 2012,ORF,12800000.0,347000,2012,Silent House 2011,94
Friends with Kids 2012,RAtt.,7300000.0,5800000,2012,Friends with Kids 2011,95
The Well-Digger's Daughter 2012,KL,386000.0,12200000,2012,The Well-Digger's Daughter 2011,97
Klown 2012,Drft.,68800.0,12400000,2012,Klown 2010,90
People Like Us 2012,BV,12400000.0,,2012,People Like Us 2012,100
Seeking Justice 2012,Anch.,412000.0,11900000,2012,Seeking Justice 2011,95
Bachelorette 2012,RTWC,448000.0,11500000,2012,Bachelorette 2012,100
This Must Be the Place 2012,Wein.,144000.0,11600000,2012,This Must Be the Place 2011,96
Fun Size 2012,Par.,9400000.0,2000000,2012,Fun Size 2012,100
Rec 3: Genesis 2012,Magn.,9600.0,10100000,2012,[REC] 3: Genesis 2012,97
Delicacy 2012,Cohen,499000.0,9200000,2012,Delicacy 2011,92
Seeking a Friend for the End of the World 2012,Focus,7100000.0,2600000,2012,Seeking a Friend for the End of the World 2012,100
The Apparition 2012,WB,4900000.0,4700000,2012,The Apparition 2012,100
For Greater Glory 2012,ArcEnt,5700000.0,4000000,2012,For the Glory 2012,85
Hysteria 2012,SPC,1800000.0,7700000,2012,Hysteria 2010,92
Bernie 2012,MNE,9200000.0,,2012,Bernie 2011,91
The Sessions 2012,FoxS,6000000.0,3100000,2012,The Sessions 2012,100
Ruby Sparks 2012,FoxS,2500000.0,6600000,2012,Ruby Sparks 2012,100
Hyde Park on Hudson 2012,Focus,6400000.0,2500000,2012,Hyde Park on Hudson 2012,100
On the Road 2012,IFC,744000.0,8000000,2012,On the Road 2012,100
Boy (2012) 2012,PalUni,256000.0,8400000,2012,B.O.Y.D. 2012,71
Piranha 3DD 2012,W/Dim.,377000.0,8100000,2012,Piranha 3DD 2012,100
Easy Money (2012) 2012,Wein.,206000.0,8199999,2012,Easy Money 2010,81
Space Dogs 3D 2012,EpicPics,14400.0,8300000,2012,Space Dogs 2010,85
Bel Ami 2012,Magn.,120000.0,8199999,2012,Bel Ami 2012,100
Promised Land (2012) 2012,Focus,7600000.0,541000,2012,Promised Land 2012,84
Iron Sky 2012,EOne,122000.0,8000000,2012,Iron Sky 2012,100
Casa De Mi Padre 2012,LGF,5900000.0,2100000,2012,Casa de mi Padre 2012,100
Heroine 2012,UTV,599000.0,7400000,2012,Heroine 2012,100
A Royal Affair 2012,Magn.,1500000.0,6000000,2012,A Royal Affair 2012,100
All Together 2012,KL,43200.0,7200000,2012,All Together 2011,94
My Worst Nightmare 2012,Strand,22000.0,7100000,2012,My Worst Nightmare 2011,96
The Collection 2012,LD,6800000.0,,2012,The Collection 2012,100
Monsieur Lazhar (U.S.-only) 2012,MBox,2000000.0,4600000,2012,Monsieur Lazhar 2011,73
Goon 2012,Magn.,4200000.0,2300000,2012,Goon 2011,89
Cosmopolis 2012,EOne,764000.0,5300000,2012,Cosmopolis 2012,100
Chasing Mavericks 2012,Fox,6000000.0,600,2012,Chasing Mavericks 2012,100
Declaration of War 2012,IFC,59100.0,5800000,2012,Declaration of War 2011,96
Puella Magi Madoka Magica the Movie 2012,Elev.,180000.0,5600000,2012,Puella Magi Madoka Magica the Movie Part 2: Eternal 2012,83
Albert Nobbs 2012,RAtt.,3000000.0,2600000,2012,Albert Nobbs 2011,94
In Darkness 2012,SPC,1000000.0,4500000,2012,In Darkness 2011,94
Won't Back Down 2012,Fox,5300000.0,,2012,Won't Back Down 2012,100
Farewell My Queen 2012,Cohen,1600000.0,3700000,2012,"Farewell, My Queen 2012",98
The Tall Man 2012,Imag.,,5200000,2012,The Tall Man 2012,100
Girl in Progress 2012,LGF,2600000.0,2000000,2012,Girl in Progress 2012,100
"Jeff, Who Lives at Home 2012",ParV,4300000.0,148000,2012,"Jeff, Who Lives at Home 2011",96
Barbara 2012,AF,1000000.0,3100000,2012,Barbara 2012,100
The Raid: Redemption 2012,SPC,4099999.0,,2012,The Raid: Redemption 2011,96
Keith Lemon: The Film 2012,,,4000000,2012,Keith Lemon: The Film 2012,100
Safety Not Guaranteed 2012,FD,4000000.0,,2012,Safety Not Guaranteed 2012,100
Nitro Circus the Movie 3D 2012,ArcEnt,3400000.0,526000,2012,Nitro Circus: The Movie 2012,93
"Lula, Son of Brazil 2012",NYer,,3800000,2012,All Eyes on Brazil 2014,72
The Lady 2012,Cohen,355000.0,3400000,2012,The Lady 2011,92
Branded 2012,RAtt.,354000.0,3400000,2012,Branded 2012,100
The Rabbi's Cat 2012,GK,23400.0,3700000,2012,The Rabbi's Cat 2011,95
Searching for Sugar Man 2012,SPC,3700000.0,,2012,Searching for Sugar Man 2012,100
Killer Joe 2012,LD,2000000.0,1700000,2012,Killer Joe 2011,93
Hara-Kiri: Death of a Samurai 2012,Trib.,75700.0,3400000,2012,Hara-Kiri: Death of a Samurai 2011,97
Robot & Frank 2012,Gold.,3300000.0,,2012,Robot & Frank 2012,100
Raiders of the Lost Ark (IMAX) 2012,Par.,3100000.0,,2012,Raiders of the Lost Shark 2015,83
Celeste and Jesse Forever 2012,SPC,3100000.0,,2012,Celeste & Jesse Forever 2012,93
Jab Tak Hai Jaan 2012,Yash,3000000.0,,2012,Jab Tak Hai Jaan 2012,100
Intruders 2012,MNE,69100.0,2900000,2012,Intruders 2011,93
Talaash 2012,Relbig.,2900000.0,,2012,Talaash 2012,100
Barfi! 2012,UTV,2800000.0,,2012,Barfi! 2012,100
A Simple Life 2012,CL,192000.0,2600000,2012,A Simple Life 2011,94
Samsara 2012,Osci.,2700000.0,,2012,Samara 2012,96
Simon and the Oaks 2012,TFA,151000.0,2400000,2012,Simon & the Oaks 2011,86
Jiro Dreams of Sushi 2012,Magn.,2600000.0,,2012,Jiro Dreams of Sushi 2011,96
Dabangg 2 2012,Eros,2500000.0,,2012,Dabangg 2 2012,100
Kid With a Bike 2012,IFC,1500000.0,1000000,2012,The Kid with a Bike 2011,86
The Queen of Versailles 2012,Magn.,2400000.0,,2012,The Queen of Versailles 2012,100
Ek Tha Tiger 2012,Yash,2300000.0,,2012,Ek Tha Tiger 2012,100
Chico & Rita 2012,GK,351000.0,1900000,2012,Chico & Rita 2010,94
Stolen (2012) 2012,MNE,304000.0,1800000,2012,Stolen 2012,76
Footnote 2012,SPC,2000000.0,,2012,Footnote 2011,92
The Imposter 2012,IM,898000.0,1100000,2012,The Imposter 2012,100
Agneepath 2012,Eros,2000000.0,,2012,Agneepath 2012,100
The Day I Saw Your Heart 2012,FM,3500.0,2000000,2012,The Day I Saw Your Heart 2011,97
English Vinglish 2012,Eros,1900000.0,,2012,English Vinglish 2012,100
Housefull 2 2012,Eros,1800000.0,,2012,Housefull 2 2012,100
The Cup (2012) 2012,Myr.,,1800000,2012,The Cup 2011,77
Tales of the Night 2012,GK,11000.0,1700000,2012,Tales of the Night 2011,96
Beloved (2012) 2012,IFC,138000.0,1500000,2012,Beloved 2010,77
360 2012,Magn.,100000.0,1600000,2012,36 2012,93
2 Days in New York 2012,Magn.,633000.0,1000000,2012,2 Days in New York 2012,100
Your Sister's Sister 2012,IFC,1600000.0,,2012,Your Sister's Sister 2011,96
Hermano 2012,MBox,29900.0,1600000,2012,Hermanos 2018,88
Lay the Favorite 2012,RTWC,21000.0,1600000,2012,Lay the Favorite 2012,100
Soldiers of Fortune 2012,RAtt.,38900.0,1500000,2012,Soldiers of Fortune 2012,100
A Late Quartet 2012,EOne,1600000.0,,2012,A Late Quartet 2012,100
I Wish 2012,Magn.,146000.0,1400000,2012,I Wish 2012,100
The Salt of Life 2012,Zeit.,317000.0,1200000,2012,The Salt of Life 2011,95
Chicken with Plums 2012,SPC,254000.0,1200000,2012,Chicken with Plums 2011,96
Marley 2012,Magn.,1400000.0,,2012,Marley 2012,100
The Paperboy 2012,MNE,693000.0,661000,2012,The Paperboy 2012,100
Chasing Ice 2012,SD,1300000.0,,2012,Chasing Ice 2012,100
Unforgivable 2012,Strand,154000.0,1200000,2012,Unforgivable 2011,94
A Little Bit of Heaven 2012,MNE,15400.0,1300000,2012,A Little Bit of Heaven 2011,96
The Other Son 2012,Cohen,1300000.0,,2012,The Other Son 2012,100
Meerkats 2012,NGE,778000.0,482000,2012,Meerkats 2011,92
"For a Good Time, Call... 2012",Focus,1300000.0,,2012,"For a Good Time, Call... 2012",100
Take This Waltz 2012,Magn.,1200000.0,,2012,Take This Waltz 2011,95
Cocktail (2012) 2012,Eros,1200000.0,,2012,Cocktail 2010,79
Once Upon a Time in Anatolia 2012,CGld,152000.0,1000000,2012,Once Upon a Time in Anatolia 2011,97
Ek Main Aur Ekk Tu 2012,UTV,1200000.0,,2012,Ek Main Aur Ekk Tu 2012,100
The Deep Blue Sea 2012,MBox,1100000.0,,2012,The Deep Blue Sea 2011,95
Coriolanus 2012,Wein.,757000.0,315000,2012,Coriolanus 2018,93
Diana Vreeland: The Eye Has to Travel 2012,Gold.,1000000.0,,2012,Diana Vreeland: The Eye Has to Travel 2011,98
First Position 2012,IFC,1000000.0,,2012,First Position 2011,95
Damsels in Distress 2012,SPC,1000000.0,,2012,Damsels in Distress 2011,96
Rampart 2012,MNE,973000.0,,2012,Rampart 2011,92
Elles 2012,KL,158000.0,754000,2012,Elles 2011,90
W.E. 2012,Wein.,583000.0,285000,2012,W.E. 2011,89
Breathing 2012,KL,4600.0,803000,2012,Breathing 2017,93
Darling Companion 2012,SPC,794000.0,,2012,Darling Companion 2012,100
Teri Meri Kahaani 2012,Eros,781000.0,,2012,Teri Meri Kahaani 2012,100
Son of Sardaar 2012,Eros,772000.0,,2012,Son of Sardaar 2012,100
Agent Vinod 2012,Eros,698000.0,,2012,Agent Vinod 2012,100
Student of the Year 2012,Eros,670000.0,,2012,Student of the Year 2012,100
The Polar Express (2012 re-issue) 2012,WB,669000.0,,2012,The Polar Explorer 2011,66
Holy Motors 2012,IM,641000.0,,2012,Holy Motors 2012,100
Free Men 2012,FM,53800.0,564000,2012,Free Men 2011,92
"Peace, Love and Misunderstanding 2012",IFC,591000.0,,2012,"Peace, Love & Misunderstanding 2011",92
Undefeated (2012) 2012,Wein.,562000.0,,2012,Undefeated 2011,81
Sister (2012) 2012,AF,155000.0,400000,2012,Sisters! 2011,77
Vicky Donor 2012,Eros,549000.0,,2012,Vicky Donor 2012,100
Being Flynn 2012,Focus,540000.0,,2012,Being Flynn 2012,100
Ai Weiwei: Never Sorry 2012,IFC,534000.0,,2012,Ai Weiwei: Never Sorry 2012,100
Where Do We Go Now? 2012,SPC,532000.0,,2012,Where Do We Go Now? 2011,96
Bully (2012) 2012,Wein.,279000.0,182000,2012,Bully 2011,74
Ferrari Ki Sawaari 2012,Eros,434000.0,,2012,Ferrari Ki Sawaari 2012,100
Dark Tide 2012,WHE,,432000,2012,Dark Tide 2012,100
Apartment 143 2012,Magn.,400.0,426000,2012,Apartment 143 2011,94
Sound of My Voice 2012,FoxS,408000.0,,2012,Sound of My Voice 2011,95
Khiladi 786 2012,Eros,379000.0,,2012,Khiladi 786 2012,100
Smashed 2012,SPC,377000.0,,2012,Smashed 2012,100
Universal Soldier: Day of Reckoning 2012,Magn.,5500.0,364000,2012,Universal Soldier: Day of Reckoning 2012,100
The Oranges 2012,ATO,366000.0,,2012,The Oranges 2011,94
Liberal Arts 2012,IFC,327000.0,,2012,Liberal Arts 2012,100
Compliance 2012,Magn.,319000.0,,2012,Compliance 2012,100
Back to 1942 2012,CL,313000.0,,2012,Back to 1942 2012,100
The Flowers of War 2012,WHE,311000.0,,2012,The Flowers of War 2011,96
Something From Nothing: The Art of Rap 2012,IM,288000.0,,2012,Something from Nothing: The Art of Rap 2012,100
Love in the Buff 2012,CL,256000.0,,2012,Love in the Buff 2012,100
Lola Versus 2012,FoxS,253000.0,,2012,Lola Versus 2012,100
Keep the Lights On 2012,MBox,246000.0,,2012,Keep the Lights On 2012,100
Gerhard Richter Painting 2012,KL,243000.0,,2012,Gerhard Richter Painting 2011,97
Trishna 2012,IFC,240000.0,,2012,Trishna 2011,92
Elena 2012,Zeit.,233000.0,,2012,Elena 2012,100
Tezz 2012,Eros,230000.0,,2012,Tezz 2012,100
The Viral Factor 2012,CL,220000.0,,2012,The Viral Factor 2012,100
Neil Young Journeys 2012,SPC,215000.0,,2012,Neil Young Journeys 2011,96
Tai Chi Zero 2012,Vari.,212000.0,,2012,Tai Chi Zero 2012,100
The House I Live In 2012,Abr.,211000.0,,2012,The House I Live In 2012,100
10 Years 2012,Anch.,203000.0,,2012,10 Years 2011,92
17 Girls 2012,Strand,15100.0,186000,2012,17 Girls 2011,92
Tim & Eric's Billion Dollar Movie 2012,Magn.,201000.0,,2012,Tim and Eric's Billion Dollar Movie 2012,95
Any Day Now 2012,MBox,201000.0,,2012,Any Day Now 2012,100
Tere Naal Love Ho Gaya 2012,UTV,178000.0,,2012,Tere Naal Love Ho Gaya 2012,100
The Hunter (2012) 2012,Magn.,177000.0,,2012,The Hunter 2010,81
Butter 2012,RTWC,105000.0,70700,2012,Butter 2011,91
Kill List 2012,IFC,29100.0,143000,2012,Kill List 2011,93
Flying Swords of Dragon Gate 2012,IM,170000.0,,2012,Flying Swords of Dragon Gate 2011,97
Joker 2012,UTV,169000.0,,2012,Joker 2012,100
Dark Horse 2012,BM&DH,166000.0,,2012,Dark Horse 2011,93
Shirin Farhad Ki Toh Nikal Padi 2012,Eros,156000.0,,2012,Shirin Farhad Ki Toh Nikal Padi 2012,100
Bullhead 2012,Drft.,152000.0,,2012,Bullhead 2011,92
Chakravyuh 2012,Eros,152000.0,,2012,Chakravyuh 2012,100
Luv Shuv Tey Chicken Khurana 2012,UTV,144000.0,,2012,Luv Shuv Tey Chicken Khurana 2012,100
High School 2012,Anch.,139000.0,,2012,High School 2010,94
Warriors of the Rainbow: Seediq Bale 2012,WGUSA,136000.0,,2012,Warriors of the Rainbow: Seediq Bale I 2011,95
The Loneliest Planet 2012,IFC,130000.0,,2012,The Loneliest Planet 2011,96
Forgiveness of Blood 2012,IFC,127000.0,,2012,The Forgiveness of Blood 2011,89
Toys in the Attic 2012,Hann.,64900.0,61600,2012,It Lives in the Attic 2016,79
"Turn Me On, Dammit! 2012",NYer,126000.0,,2012,"Turn Me On, Dammit! 2011",96
God Bless America 2012,Magn.,123000.0,,2012,God Bless America 2011,95
Bullet Vanishes 2012,CL,118000.0,,2012,The Bullet Vanishes 2012,91
The Woman in the Fifth 2012,ATO,114000.0,,2012,The Woman in the Fifth 2011,96
5 Broken Cameras 2012,KL,110000.0,,2012,Five Broken Cameras 2011,84
Hello I Must Be Going 2012,Osci.,107000.0,,2012,Hello I Must Be Going 2012,100
The Magic of Belle Isle 2012,Magn.,102000.0,,2012,The Magic of Belle Isle 2012,100
"Oslo, August 31st 2012",Strand,101000.0,,2012,"Oslo, August 31st 2011",95
Wuthering Heights (2012) 2012,Osci.,101000.0,,2012,Wuthering Heights 2011,86
Mugamoodi 2012,UTV,101000.0,,2012,Mugamoodi 2012,100
V/H/S 2012,Magn.,100000.0,,2012,V/H/S 2012,100
Goodbye First Love 2012,IFC,95000.0,,2012,Goodbye First Love 2011,96
Marina Abramovic: The Artist is Present 2012,MBox,86600.0,,2012,Marina Abramovic: The Artist Is Present 2012,100
The Eye of the Storm 2012,SEG,83600.0,,2012,The Eye of the Storm 2011,96
Wagner & Me 2012,FRun,37700.0,41000,2012,Wagner & Me 2010,94
The Innkeepers 2012,Magn.,78400.0,,2012,The Innkeepers 2011,95
This is Not a Film 2012,PalT,77000.0,,2012,This Is Not a Film 2011,96
The Island President 2012,Gold.,76400.0,,2012,The Island President 2011,96
Detachment 2012,Trib.,72700.0,,2012,Detachment 2011,93
The Green Wave 2012,RF,,70100,2012,The Green Wave 2010,95
Attenberg 2012,Strand,24000.0,45900,2012,Attenberg 2010,93
Deadfall (2012) 2012,Magn.,66400.0,,2012,Deadfall 2012,79
Girlfriend Boyfriend - GF BF 2012,CL,64400.0,,2012,Girlfriend Boyfriend 2012,86
Vulgaria 2012,CL,59100.0,,2012,Vulgaria 2012,100
The Turin Horse 2012,CGld,56400.0,,2012,The Turin Horse 2011,95
Jodi Breakers 2012,Yash,52600.0,,2012,Jodi Breakers 2012,100
Painted Skin: The Resurrection 2012,WGUSA,50400.0,,2012,Painted Skin: The Resurrection 2012,100
"All's Well, End's Well (2012) 2012",CL,47900.0,,2012,"All's Well, Ends Well 2012 2012",95
North Sea Texas 2012,Strand,28300.0,16700,2012,North Sea Texas 2011,95
Double Trouble 2012,CL,44800.0,,2012,Double Trouble 2012,100
The Fairy 2012,KL,38400.0,,2012,The Fairy 2011,93
Hit So Hard 2012,Vari.,34000.0,,2012,Hit So Hard 2011,94
Kalakalappu@Masala Cafe 2012,UTV,30900.0,,2012,Kalakalappu 2012,73
The Bay 2012,RAtt.,30700.0,,2012,The Bay 2012,100
You've Been Trumped 2012,ICir,29300.0,,2012,You've Been Trumped 2011,96
Here (2012) 2012,Strand,26700.0,,2012,George 2012 2012,81
In Another Country 2012,KL,25100.0,,2012,In Another Country 2012,100
The First Time 2012,Gold.,22800.0,,2012,The First Time 2012,100
Bonsai 2012,Strand,21300.0,,2012,Bonsai 2018,91
The Day 2012,Anch.,21000.0,,2012,The Delay 2012,92
28 Hotel Rooms 2012,Osci.,18900.0,,2012,28 Hotel Rooms 2012,100
Lovely Molly 2012,Imag.,18500.0,,2012,Lovely Molly 2011,94
Juan of the Dead 2012,Outs,18000.0,,2012,Juan of the Dead 2011,95
4:44: Last Day on Earth 2012,IFC,17800.0,,2012,4:44 Last Day on Earth 2011,95
Little Birds 2012,MNE,17700.0,,2012,Little Birds 2011,94
Return (2012) 2012,Da.,16100.0,,2012,Return 2011,76
Alps 2012,KL,16100.0,,2012,Alps 2011,89
Patience (After Sebald) 2012,CGld,15900.0,,2012,Patience (After Sebald) 2012,100
Take Me Home 2012,Mont.,15800.0,,2012,Take Me Home 2011,94
Reuniting the Rubins 2012,Mont.,13600.0,,2012,Reuniting the Rubins 2010,96
Cirkus Columbia 2012,Strand,3500.0,9500,2012,Cirkus Columbia 2010,95
Grassroots 2012,Gold.,12400.0,,2012,Grassroots 2012,100
Husbands in Goa 2012,UTV,10100.0,,2012,Husbands in Goa 2012,100
Starry Starry Night 2012,CL,10000.0,,2012,Starry Starry Night 2011,96
Corpo Celeste 2012,FM,8900.0,,2012,Corpo Celeste 2011,94
Dreams of a Life 2012,Strand,8400.0,,2012,Dreams of a Life 2011,95
The Babymakers 2012,MNE,7900.0,,2012,The Babymakers 2012,100
Las Acacias 2012,OutF,6000.0,,2012,Las Acacias 2011,94
The Good Doctor 2012,Magn.,5200.0,,2012,The Good Doctor 2011,95
Liar's Autobiography 2012,BSM,5100.0,,2012,Bones Brigade: An Autobiography 2012,72
Sleepless Night 2012,Trib.,3400.0,,2012,Sleepless Night 2012,100
ATM 2012,IFC,3000.0,,2012,ATM 2012,100
About Cherry 2012,IFC,3000.0,,2012,About Cherry 2012,100
Perfect Sense 2012,IFC,3000.0,,2012,Perfect Sense 2011,94
Cheerful Weather for the Wedding 2012,IFC,2700.0,,2012,Cheerful Weather for the Wedding 2012,100
The Decoy Bride 2012,IFC,800.0,,2012,The Decoy Bride 2011,95
Death of a Superhero 2012,Trib.,600.0,,2012,Death of a Superhero 2011,96
Frozen 2013,BV,400700000.0,875700000,2013,Frozen 2013,100
Iron Man 3 2013,BV,409000000.0,805800000,2013,Iron Man 3 2013,100
Despicable Me 2 2013,Uni.,368100000.0,602700000,2013,Despicable Me 2 2013,100
The Hobbit: The Desolation of Smaug 2013,WB (NL),258399999.0,700000000,2013,The Hobbit: The Desolation of Smaug 2013,100
The Hunger Games: Catching Fire 2013,LGF,424700000.0,440300000,2013,The Hunger Games: Catching Fire 2013,100
Fast & Furious 6 2013,Uni.,238700000.0,550000000,2013,Fast & Furious 6 2013,100
Monsters University 2013,BV,268500000.0,475700000,2013,Monsters University 2013,100
Gravity 2013,WB,274100000.0,449100000,2013,Gravity 2013,100
Man of Steel 2013,WB,291000000.0,377000000,2013,Man of Steel 2013,100
Thor: The Dark World 2013,BV,206400000.0,438200000,2013,Thor: The Dark World 2013,100
The Croods 2013,Fox,187200000.0,400000000,2013,The Croods 2013,100
World War Z 2013,Par.,202400000.0,337600000,2013,World War Z 2013,100
Oz The Great and Powerful 2013,BV,234900000.0,258399999,2013,Oz the Great and Powerful 2013,100
Star Trek Into Darkness 2013,Par.,228800000.0,238600000,2013,Star Trek Into Darkness 2013,100
The Wolverine 2013,Fox,132600000.0,282300000,2013,The Wolverine 2013,100
Pacific Rim 2013,WB,101800000.0,309200000,2013,Pacific Rim 2013,100
The Wolf of Wall Street 2013,Par.,116900000.0,275100000,2013,The Wolf of Wall Street 2013,100
G.I. Joe: Retaliation 2013,Par.,122500000.0,253200000,2013,G.I. Joe: Retaliation 2013,100
The Hangover Part III 2013,WB,112200000.0,249800000,2013,The Hangover Part III 2013,100
The Great Gatsby (2013) 2013,WB,144800000.0,208800000,2013,The Great Gatsby 2013,86
Now You See Me 2013,LG/S,117700000.0,234000000,2013,Now You See Me 2013,100
The Smurfs 2 2013,Sony,71000000.0,276500000,2013,The Smurfs 2 2013,100
The Conjuring 2013,WB (NL),137400000.0,182100000,2013,The Conjuring 2013,100
A Good Day to Die Hard 2013,Fox,67300000.0,237300000,2013,A Good Day to Die Hard 2013,100
Oblivion 2013,Uni.,89100000.0,197100000,2013,Oblivion 2013,100
Elysium 2013,TriS,93100000.0,193100000,2013,Elysium 2013,100
Turbo 2013,Fox,83000000.0,199500000,2013,Turbo 2013,100
Cloudy with a Chance of Meatballs 2 2013,Sony,119800000.0,154500000,2013,Cloudy with a Chance of Meatballs 2 2013,100
We're the Millers 2013,WB (NL),150400000.0,119600000,2013,We're the Millers 2013,100
Epic 2013,Fox,107500000.0,160900000,2013,Epic 2013,100
The Lone Ranger 2013,BV,89300000.0,171200000,2013,The Lone Ranger 2013,100
American Hustle 2013,Sony,150100000.0,101100000,2013,American Hustle 2013,100
Grown Ups 2 2013,Sony,133699999.0,113300000,2013,Grown Ups 2 2013,100
After Earth 2013,Sony,60500000.0,183300000,2013,After Earth 2013,100
Planes 2013,BV,90300000.0,149000000,2013,Planes 2013,100
The Heat 2013,Fox,159600000.0,70300000,2013,The Heat 2013,100
